"data","cat_pergunta","dado","cat_recorte","recorte","valor"
"2013-10-21","avaliacao_governo","Ótimo e bom","regiao","NORDESTE",53
"2013-10-21","avaliacao_governo","Ótimo e bom","escolaridade","Fundamental 1",47
"2013-10-21","avaliacao_governo","Ótimo e bom","idade","55 ou mais",45
"2013-10-21","avaliacao_governo","Ótimo e bom","renda_familiar","1 a 2",44
"2013-10-21","avaliacao_governo","Ótimo e bom","renda_familiar","Ate 1",44
"2013-10-21","avaliacao_governo","Regular","condicao_municipio","PERIFERIA",42
"2013-10-21","avaliacao_governo","Ótimo e bom","condicao_municipio","INTERIOR",41
"2013-10-21","avaliacao_governo","Ótimo e bom","idade","45 a 54",40
"2013-10-21","avaliacao_governo","Regular","idade","25 a 34",39
"2013-10-21","avaliacao_governo","Regular","escolaridade","Superior",39
"2013-10-21","avaliacao_governo","Ótimo e bom","sexo","MAS",38
"2013-10-21","avaliacao_governo","Regular","escolaridade","Fundamental 2",38
"2013-10-21","avaliacao_governo","Regular","renda_familiar","2 a 5",38
"2013-10-21","avaliacao_governo","Regular","regiao","SUL",38
"2013-10-21","avaliacao_governo","Ótimo e bom","sexo","FEM",37
"2013-10-21","avaliacao_governo","Regular","regiao","SUDESTE",37
"2013-10-21","avaliacao_governo","Ótimo e bom","total","total",37
"2013-10-21","avaliacao_governo","Regular","sexo","MAS",36
"2013-10-21","avaliacao_governo","Regular","idade","16 a 24",36
"2013-10-21","avaliacao_governo","Ótimo e bom","escolaridade","Medio",36
"2013-10-21","avaliacao_governo","Ruim e péssimo","escolaridade","Superior",36
"2013-10-21","avaliacao_governo","Regular","renda_familiar","Ate 1",36
"2013-10-21","avaliacao_governo","Ótimo e bom","regiao","SUL",36
"2013-10-21","avaliacao_governo","Ótimo e bom","idade","35 a 44",35
"2013-10-21","avaliacao_governo","Ótimo e bom","escolaridade","Fundamental 2",35
"2013-10-21","avaliacao_governo","Regular","escolaridade","Medio",35
"2013-10-21","avaliacao_governo","Ruim e péssimo","renda_familiar","Mais de 5",35
"2013-10-21","avaliacao_governo","Regular","condicao_municipio","CAPITAL",35
"2013-10-21","avaliacao_governo","Regular","total","total",35
"2013-10-21","avaliacao_governo","Regular","sexo","FEM",34
"2013-10-21","avaliacao_governo","Ótimo e bom","idade","25 a 34",34
"2013-10-21","avaliacao_governo","Regular","idade","35 a 44",34
"2013-10-21","avaliacao_governo","Regular","renda_familiar","Mais de 5",34
"2013-10-21","avaliacao_governo","Ótimo e bom","condicao_municipio","PERIFERIA",34
"2013-10-21","avaliacao_governo","Regular","condicao_municipio","INTERIOR",34
"2013-10-21","avaliacao_governo","Ótimo e bom","idade","16 a 24",33
"2013-10-21","avaliacao_governo","Regular","idade","45 a 54",33
"2013-10-21","avaliacao_governo","Ruim e péssimo","condicao_municipio","CAPITAL",33
"2013-10-21","avaliacao_governo","Ótimo e bom","regiao","NORTE-CENTRO-OESTE",33
"2013-10-21","avaliacao_governo","Regular","regiao","NORTE-CENTRO-OESTE",33
"2013-10-21","avaliacao_governo","Regular","idade","55 ou mais",32
"2013-10-21","avaliacao_governo","Regular","escolaridade","Fundamental 1",32
"2013-10-21","avaliacao_governo","Regular","renda_familiar","1 a 2",32
"2013-10-21","avaliacao_governo","Regular","regiao","NORDESTE",32
"2013-10-21","avaliacao_governo","Ruim e péssimo","regiao","SUDESTE",32
"2013-10-21","avaliacao_governo","Ruim e péssimo","renda_familiar","2 a 5",31
"2013-10-21","avaliacao_governo","Ótimo e bom","condicao_municipio","CAPITAL",31
"2013-10-21","avaliacao_governo","Ruim e péssimo","idade","16 a 24",30
"2013-10-21","avaliacao_governo","Ótimo e bom","renda_familiar","Mais de 5",30
"2013-10-21","avaliacao_governo","Ótimo e bom","renda_familiar","2 a 5",30
"2013-10-21","avaliacao_governo","Ruim e péssimo","regiao","NORTE-CENTRO-OESTE",30
"2013-10-21","avaliacao_governo","Ótimo e bom","regiao","SUDESTE",30
"2013-10-21","avaliacao_governo","Ruim e péssimo","idade","35 a 44",29
"2013-10-21","avaliacao_governo","Ruim e péssimo","escolaridade","Medio",28
"2013-10-21","avaliacao_governo","Ruim e péssimo","sexo","FEM",27
"2013-10-21","avaliacao_governo","Ruim e péssimo","idade","25 a 34",26
"2013-10-21","avaliacao_governo","Ruim e péssimo","regiao","SUL",26
"2013-10-21","avaliacao_governo","Ruim e péssimo","total","total",26
"2013-10-21","avaliacao_governo","Ruim e péssimo","sexo","MAS",25
"2013-10-21","avaliacao_governo","Ruim e péssimo","idade","45 a 54",25
"2013-10-21","avaliacao_governo","Ruim e péssimo","escolaridade","Fundamental 2",25
"2013-10-21","avaliacao_governo","Ótimo e bom","escolaridade","Superior",24
"2013-10-21","avaliacao_governo","Ruim e péssimo","condicao_municipio","INTERIOR",24
"2013-10-21","avaliacao_governo","Ruim e péssimo","renda_familiar","1 a 2",22
"2013-10-21","avaliacao_governo","Ruim e péssimo","idade","55 ou mais",21
"2013-10-21","avaliacao_governo","Ruim e péssimo","escolaridade","Fundamental 1",19
"2013-10-21","avaliacao_governo","Ruim e péssimo","condicao_municipio","PERIFERIA",19
"2013-10-21","avaliacao_governo","Ruim e péssimo","renda_familiar","Ate 1",17
